Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2023|BBHI|EQUITY|21730256442|1505|0|18655036103|0|0|378088280|2785168|12653985|0|146000|19048709536|0|2127284499|25600|3877089|247860988|1908000|1666216|0|81621949|2464244341
31-MAR-2023|BBKP|EQUITY|67887540178|110|4358399|2804359121|11439691|19662220|14394608878|3666966|303563818|2390800|870275367|18414325260|23327000|193788969|164444469|1199304585|82490095|489240576|551721538|0|1238814213|3943131445
31-MAR-2023|BBLD|EQUITY|1645796054|510|63023085|1179045165|0|1283|80829424|1125300|95253|0|0|1324119510|0|4996895|0|241179957|70639314|0|3744|0|3530300|320350210
31-MAR-2023|BBMD|EQUITY|4090090000|1960|0|100|0|63021200|192452600|0|0|0|0|255473900|0|0|0|500|174451100|0|74500|0|0|174526100
31-MAR-2023|BBNI|EQUITY|18648656458|9350|1174837407|44862525|102455542|3265600|844059799|516686905|5558551|26749009|439261|2718914599|136933787|206704812|788046093|409085229|1747046|1523614548|194727209|11936440|1464344010|4737139174
31-MAR-2023|BBRI|EQUITY|151559001604|4730|3788658150|136847901|580575849|740650841|2786711682|2433496453|26786399|312461083|5500222523|16306410881|1338561147|2468986563|7283756094|5557577618|38110528|21573617341|1589880639|209036333|14560629409|54620155672
31-MAR-2023|BBRM|EQUITY|8479490328|54|0|6654186284|0|0|333871873|0|263862|0|66|6988322085|0|1114168300|0|254117552|13129397|0|106818532|0|2933333|1491167114
31-MAR-2023|BBSI|EQUITY|3674723301|3330|0|3242469830|0|0|260730040|0|57|0|0|3503199927|0|0|0|335|11382986|0|135361060|0|0|146744381
31-MAR-2023|BBSS|EQUITY|4800016020|70|0|800962800|0|0|498053120|0|0|800|0|1299016720|0|0|0|919300|75000|0|5000|0|0|999300
31-MAR-2023|BBTN|EQUITY|14034444413|1225|1408242121|163496301|185991369|11493289|1824476936|529370600|36524762|34853299|2811753|4197260430|7273061|70515571|185196449|76676940|6249124|463899660|129545645|73807768|403251217|1416415435
